mcg_code,mcg_original_code,title,url,confidence,found_code_in,found_title_in,source_toc_url,category_path,page_title
M000,M0,"Mastectomy, Complete, with Tissue Flap Reconstruction",https://careweb.careguidelines.com/ed30/isc/0770250a.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=General%20Surgery,,"ISC - Mastectomy, Complete, with Tissue Flap Reconstruction"
M002,m2,"Aortic Aneurysm, Thoracic, Repair with Graft",https://careweb.careguidelines.com/ed30/isc/0418100a.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiovascular%20Surgery,,"ISC - Aortic Aneurysm, Thoracic, Repair with Graft"
M005,M-05,Abdominal Pain,https://careweb.careguidelines.com/ed30/isc/1408010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Abdominal Pain
M035,M-35,Anemia,https://careweb.careguidelines.com/ed30/isc/0764010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Hematology%20-%20Oncology,,ISC - Anemia
M040,M-40,Angina,https://careweb.careguidelines.com/ed30/isc/0428100b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Angina
M052,M-52,Percutaneous Coronary Intervention,https://careweb.careguidelines.com/ed30/isc/0428610b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Percutaneous Coronary Intervention
M070,M-70,Cellulitis,https://careweb.careguidelines.com/ed30/isc/1701060b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Infectious%20Disease,,ISC - Cellulitis
M078,M-78,"Traumatic Brain Injury, Nonsurgical Treatment",https://careweb.careguidelines.com/ed30/isc/0202630b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Traumatic Brain Injury, Nonsurgical Treatment"
M079,M-79,"Subarachnoid Hemorrhage, Nonsurgical Treatment",https://careweb.careguidelines.com/ed30/isc/0224350b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Subarachnoid Hemorrhage, Nonsurgical Treatment"
M083,M-83,Stroke: Ischemic,https://careweb.careguidelines.com/ed30/isc/0224500b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Stroke: Ischemic
M085,M-85,Stroke: Hemorrhagic,https://careweb.careguidelines.com/ed30/isc/0224600b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Stroke: Hemorrhagic
M087,M-87,Chemotherapy,https://careweb.careguidelines.com/ed30/isc/0770350b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Hematology%20-%20Oncology,,ISC - Chemotherapy
M089,M-89,Chest Pain,https://careweb.careguidelines.com/ed30/isc/0408020b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Chest Pain
M123,M-123,Dehydration,https://careweb.careguidelines.com/ed30/isc/1408200b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Dehydration
M130,M-130,Diabetes,https://careweb.careguidelines.com/ed30/isc/0952010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Endocrinology,,ISC - Diabetes
M134,M-134,"Diabetes, Hypoglycemia",https://careweb.careguidelines.com/ed30/isc/0952250b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Endocrinology,,"ISC - Diabetes, Hypoglycemia"
M150,M-150,"Diverticulitis, Acute",https://careweb.careguidelines.com/ed30/isc/1407500b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,"ISC - Diverticulitis, Acute"
M152,M-152,Dizziness,https://careweb.careguidelines.com/ed30/isc/0631200b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Dizziness
M153,M-153,Drug Ingestion or Overdose,https://careweb.careguidelines.com/ed30/isc/1673010m.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Drug Ingestion or Overdose
M154,M-154,Cardiac Catheter Ablation,https://careweb.careguidelines.com/ed30/isc/0466150b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Cardiac Catheter Ablation
M157,M-157,Cardioverter-Defibrillator Insertion,https://careweb.careguidelines.com/ed30/isc/0466170b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Cardioverter-Defibrillator Insertion
M160,M-160,"Sepsis and Other Febrile Illness, without Focal Infection",https://careweb.careguidelines.com/ed30/isc/0838010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Infectious%20Disease,,"ISC - Sepsis and Other Febrile Illness, without Focal Infection"
M170,M-170,Gastroenteritis,https://careweb.careguidelines.com/ed30/isc/1406550b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Gastroenteritis
