logic_node_id,condition_key,operator,value,rule_text,source_quote
logic.M083.p3.root,thrombolysis_or_thrombectomy_performed_or_planned_condition_present,IS_TRUE,true,Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 )
log.M083.ad1.0,nihss_score,>,2,National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 ),National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 )
log.M083.ad1.1,hemorrhagic_transformation_condition_present,IS_TRUE,true,Evidence of hemorrhagic transformation ( 4 ) ( 9 ),Evidence of hemorrhagic transformation ( 4 ) ( 9 )
log.M083.ad1.2,altered_mental_status_condition_present,IS_TRUE,true,Altered mental status ( 10 ),Altered mental status ( 10 )
log.M083.ad1.3,dysphagia_evaluation_required,IS_TRUE,true,"Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )","Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )"
log.M083.ad1.4,significant_limb_weakness_condition_present,IS_TRUE,true,"Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )","Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )"
log.M083.ad1.5,aphasia_condition_present,IS_TRUE,true,Aphasia ( 4 ),Aphasia ( 4 )
log.M083.ad1.6,gait_impairment_condition_present,IS_TRUE,true,Gait impairment ( 4 ),Gait impairment ( 4 )
log.M083.ad1.7,brain_imaging_finding_requiring_inpatient_care_condition_present,IS_TRUE,true,"Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )","Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )"
log.M083.ad1.8,neurologic_worsening_monitoring_required,IS_TRUE,true,"Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )","Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )"
