logic_node_id,parent_logic_node_id,logic_depth,node_kind,operator,condition_key,measurement,value,unit,linked_domain_node_id,original_text
logic.M083.p3.root,,0,atomic,IS_TRUE,thrombolysis_or_thrombectomy_performed_or_planned_condition_present,,true,,M083.admission.thrombolysis_or_thrombectomy_performed_or_planned,Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 )
log.M083.ad1.0,log.M083.ad1.or,2,atomic,>,nihss_score,NIHSS,2,score,M083.admission.acute_ischemic_stroke_neurologic_findings,National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 )
log.M083.ad1.1,log.M083.ad1.or,2,atomic,IS_TRUE,hemorrhagic_transformation_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Evidence of hemorrhagic transformation ( 4 ) ( 9 )
log.M083.ad1.2,log.M083.ad1.or,2,atomic,IS_TRUE,altered_mental_status_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Altered mental status ( 10 )
log.M083.ad1.3,log.M083.ad1.or,2,atomic,IS_TRUE,dysphagia_evaluation_required,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )"
log.M083.ad1.4,log.M083.ad1.or,2,atomic,IS_TRUE,significant_limb_weakness_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )"
log.M083.ad1.5,log.M083.ad1.or,2,atomic,IS_TRUE,aphasia_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Aphasia ( 4 )
log.M083.ad1.6,log.M083.ad1.or,2,atomic,IS_TRUE,gait_impairment_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Gait impairment ( 4 )
log.M083.ad1.7,log.M083.ad1.or,2,atomic,IS_TRUE,brain_imaging_finding_requiring_inpatient_care_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )"
log.M083.ad1.8,log.M083.ad1.or,2,atomic,IS_TRUE,neurologic_worsening_monitoring_required,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )"
