admission_path_id,admission_path_text,path_root_logic,context_condition_key,context_text,criteria_group,atomic_condition_key,atomic_operator,measurement,value,unit,atomic_original_text,source_quote,review_status
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",nihss_score,>,NIHSS,2,score,National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 ),National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",hemorrhagic_transformation_condition_present,IS_TRUE,,true,,Evidence of hemorrhagic transformation ( 4 ) ( 9 ),Evidence of hemorrhagic transformation ( 4 ) ( 9 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",altered_mental_status_condition_present,IS_TRUE,,true,,Altered mental status ( 10 ),Altered mental status ( 10 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",dysphagia_evaluation_required,IS_TRUE,,true,,"Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )","Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",significant_limb_weakness_condition_present,IS_TRUE,,true,,"Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )","Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",aphasia_condition_present,IS_TRUE,,true,,Aphasia ( 4 ),Aphasia ( 4 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",gait_impairment_condition_present,IS_TRUE,,true,,Gait impairment ( 4 ),Gait impairment ( 4 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",brain_imaging_finding_requiring_inpatient_care_condition_present,IS_TRUE,,true,,"Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )","Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",neurologic_worsening_monitoring_required,IS_TRUE,,true,,"Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )","Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",clinical_stability_unclear_condition_present,IS_TRUE,,true,,"Clinical stability unclear (eg, recurrent or worsening findings)","Clinical stability unclear (eg, recurrent or worsening findings)",auto_extracted
