admission_path_id,admission_path_text,tree_depth,display_text,logic_node_id,parent_logic_node_id,node_kind,operator,condition_key,measurement,value,unit,original_text,source_quote,review_status
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",0,"PATH: Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",logic.M083.p1.root,,admission_path,,,,,,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following","Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",1,"  - [composite / AND] Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",logic.M083.p1.root,,composite,AND,,,,,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following","Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",2,    - [context / IS_TRUE / acute_ischemic_stroke_condition_present] Acute ischemic stroke,log.M083.ad1.cx,logic.M083.p1.root,context,IS_TRUE,acute_ischemic_stroke_condition_present,,True,,Acute ischemic stroke,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",2,"    - [composite / OR] Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",log.M083.ad1.or,logic.M083.p1.root,composite,OR,,,,,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:","Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,      - [atomic / > / nihss_score] National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 ),log.M083.ad1.0,log.M083.ad1.or,atomic,>,nihss_score,NIHSS,2,score,National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 ),National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / hemorrhagic_transformation_condition_present] Evidence of hemorrhagic transformation ( 4 ) ( 9 ),log.M083.ad1.1,log.M083.ad1.or,atomic,IS_TRUE,hemorrhagic_transformation_condition_present,,True,,Evidence of hemorrhagic transformation ( 4 ) ( 9 ),Evidence of hemorrhagic transformation ( 4 ) ( 9 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / altered_mental_status_condition_present] Altered mental status ( 10 ),log.M083.ad1.2,log.M083.ad1.or,atomic,IS_TRUE,altered_mental_status_condition_present,,True,,Altered mental status ( 10 ),Altered mental status ( 10 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / dysphagia_evaluation_required] Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )",log.M083.ad1.3,log.M083.ad1.or,atomic,IS_TRUE,dysphagia_evaluation_required,,True,,"Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )","Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / significant_limb_weakness_condition_present] Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )",log.M083.ad1.4,log.M083.ad1.or,atomic,IS_TRUE,significant_limb_weakness_condition_present,,True,,"Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )","Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / aphasia_condition_present] Aphasia ( 4 ),log.M083.ad1.5,log.M083.ad1.or,atomic,IS_TRUE,aphasia_condition_present,,True,,Aphasia ( 4 ),Aphasia ( 4 ),auto_extracted
