condition_key,condition_role,domain,node_kind,operator,measurement,value,unit,linked_domain_node_id,linked_logic_node_id,original_text,review_status
hemodynamic_instability_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.0,Hemodynamic instability ( 2 ) ( 9 ) ( 12 ),auto_extracted
cardiac_arrhythmia_of_immediate_concern_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.1,Cardiac arrhythmias of immediate concern ( 9 ) ( 13 ) ( 14 ),auto_extracted
clinically_significant_cardiac_or_vascular_disorder_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.2,"Clinically significant cardiac or vascular disorder identified (eg, on echocardiogram, imaging) that requires inpatient care (eg, severe valvular disease, atrial myxoma, cervical artery dissection) ( 15 )",auto_extracted
cerebral_venous_thrombosis_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.3,Ischemic stroke due to cerebral venous thrombosis [ D ] ( 1 ) ( 16 ),auto_extracted
respiratory_abnormality_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.4,"Respiratory abnormalities (eg, Hypoxemia , impaired airway protection) ( 2 )",auto_extracted
prolonged_cardiac_telemetry_monitoring_required,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.5,"Prolonged cardiac telemetry monitoring needed (eg, beyond observation care time frame) due to concern for Dangerous arrhythmia (ie, not in effort to detect atrial fibrillation) [ G ]",auto_extracted
suspected_vasculitis_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.6,Suspected vasculitis ( 21 ) ( 22 ),auto_extracted
acute_ischemic_stroke_condition_present,context,admission,context,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.cx,Acute ischemic stroke,auto_extracted
diastolic_blood_pressure_mmhg,atomic_fact,admission,atomic,>,DBP,120,mmHg,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.htn.dbp,Diastolic blood pressure greater than 120 mm Hg,auto_extracted
pediatric_severe_hypertension_threshold_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.htn.ped,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",needs_review
systolic_blood_pressure_mmhg,atomic_fact,admission,atomic,>,SBP,180,mmHg,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,log.M083.ad2.htn.sbp,Systolic blood pressure greater than 180 mm Hg,auto_extracted
